生れる	　どこで	で
つく	か が	生れたか 見当が
泣く	で	所で
始める	ここで	で
見る	は を	吾輩は ものを
聞く	あとで	で
捕える	を	我々を
煮る	て	捕えて
食う	て	煮て
思う	から	なかったから
載せる	に	掌に
持ち上げる	て と	載せられて スーと
ある	が	感じが
落ちつく	で	上で
見る	て を	落ちついて 顔を
見る	の	ものの
思う	と	ものだと
残る	が でも	感じが 今でも
逢う	も	猫にも
出会う	も	一度も
吹く	から を	中から ぷうぷうと煙を
弱る	て	咽せぽくて
飲む	の	人間の
知る	は	事は
坐る	で に	裏で 心持に
おる	て	坐って
動く	が	書生が
動く	か が	動くのか 自分だけが
分る	か	動くのか
廻る	が が	分らないが 眼が
思う	と	助からないと
する	と が	どさりと 音が
出る	と て から が	思っていると、 して 眼から 火が
分る	が は やら も	記憶しているが あとは 事やら 考え出そうとしても
付く	が	気が
見る	て	付いて
いる	と は	見ると 書生は
見える	が も	兄弟が 一疋も
隠す	さえ を	母親さえ 姿を
違う	は	所とは
明く	を	眼を
見る	て	這い出して
棄てる	は から に へ	吾輩は 上から 急に 中へ
這い出す	で を	思いで 笹原を
ある	と に が	這い出すと 向うに 池が
坐る	に	前に
する	て	坐って
考える	と	よかろうと
見る	は て	吾輩は 考えて
出る	も	分別も
泣く	して	て
来る	が に	書生がまた 迎に
考え付く	と	来てくれるかと
やる	に	試みに
見る	て	やって
来る	が も	見たが 誰も
渡る	を と が	上を さらさらと 風が
かかる	て が	渡って 日が
減る	が に	腹が 非常に
出る	も が	泣きたくても 声が
ある	の	食物の
ある	まで	所まで
する	こうと 決心を	と を
そる	して	て
廻る	も を に	何でも 池を 左りに
這う	て に	我慢して 無理やりに
出る	と で へ	這って行くと 事で 所へ
這入る	ここへ	へ
思う	と	なると
崩れる	の	竹垣の
もぐり込む	て から に	思って 穴から、 邸内に
破れる	が	竹垣が
云う	は	蔭とは
至る	に	今日に
なる	は に	穴は 通路に
忍び込む	は	邸へは
分る	ものの か	忍び込んだものの 善いか
減る	は	腹は
降る	が	雨が
出来る	で が	始末で 猶予が
あるく	へ と	方へ 方へと
考える	から	今から
這入る	に	内に
おる	と は て	考えると 時は 這入って
見る	を	人間を
逢う	に	第一に
見る	より で を	書生より 方で 吾輩を
つかむ	を	頸筋を
抛り出す	これは 見るや つかんで 表へ	は や で へ
思う	と	駄目だと
ねぶる	を	眼を
任せる	から て を に	思ったから ねぶって 運を 天に
出来る	は が	寒いのには 我慢が
見る	を	隙を
這う	は て へ	吾輩は 見て 台所へ
這う	は は	吾輩は 投げ出されては
投げ出す	は	這い上っては
繰り返す	でも を	何でも 事を
云う	に と	時に おさんと
する	んで を	偸んで 返報を
下りる	から が	してやってから、 痞が
つまみ出す	が に	吾輩が 最後に
いう	と	何だと
出る	ときに、 主人が いいながら	に が ながら
ぶら下げる	を	吾輩を
向ける	へ	方へ
出す	が	小猫が
出す	て て も	ぶら下げて 向けて 出しても
上る	へ	御台所へ
困る	は も て	下女は 出しても 上って来て
いう	と	困りますと
撚る	を	毛を
眺める	ながら を	撚りながら 顔を
おる	は て	主人は 眺めて
置く	へ	内へ
這入る	おったが、 置いてやれといったまま 奥へ	が といった へ
聞く	を	口を
見える	は と	主人は 人と
抛り出す	は に を へ	下女は 口惜しそうに 吾輩を 台所へ
極める	を と	家を 住家と
する	は に	吾輩は 事に
合せる	に と を	滅多に 吾輩と 顔を
帰る	から	学校から
這入る	に	書斎に
思う	と	勉強家だと
いう	が	ものが
覗く	に を	忍び足に 書斎を
見る	は て	吾輩は 覗いて
する	を	昼寝を
ある	が は が	見るが、 彼は 事が
たらす	に を	上に 涎を
帯びる	で が を	胃弱で 色が 黄色を
あらわす	は て を	彼は 帯びて 徴候を
食う	に を	癖に 大飯を
食う	を	大飯を
飲む	で を	後で タカジヤスターゼを
ひろげる	で を	後で 書物を
垂らす	を へ	涎を 上へ
繰り返す	が	これが
考える	ながら	猫ながら
ある	は が	吾輩は 事が
生れる	と	人間と
なる	と	教師と
限る	なるに	に
勤まる	て	寝ていて
出来る	でも	猫にでも
云う	に	主人に
来る	が	友達が
鳴らす	は に を	彼は 度に 不平を
住み込む	　吾輩が 家へ	が へ
行く	どこへ	へ
跳ねる	も	行っても
する	て に	跳ね付けられて 相手に
至る	に	今日に
つける	まで さえ	至るまで 名前さえ
分る	は も	珍重されなかったかは、 つけてくれないのでも
入れる	を	吾輩を
いる	に	傍に
つとめる	から を	ないから、 事を
読む	が を	朝主人が 新聞を
乗る	ときは 上に	は に
する	が を	彼が 昼寝を
乗る	ときは 背中に	は に
やむを得る	これは なかったから	は から
寝る	へ	椽側へ
する	は は は と	朝は 夜は 昼は 事と
入る	に	夜に
もぐり込む	へ	寝床へ
ねる	て で に	入って もぐり込んで いっしょに
なる	で に	三つで 夜に
入る	へ	床へ
寝る	は と が て へ	小供というのは なると 二人が 入って 一間へ
見出す	いつでも 中間に 己れを 余地を	でも に を を
割り込む	は て か	吾輩は 見出して こうにか
醒ます	が を	一人が 眼を
なる	が が に	割り込むのであるが、 醒ますが 事に
来る	が が が	方が 質が わるい——猫が
来る	が	猫が
いう	と	来たと
泣く	は て でも でも で	小供は—— いって 夜中でも 何でも 声で
さます	を	眼を
飛び出す	は て から	主人は さまして 部屋から
叩く	せんだってなどは 物指で	は で
する	ば	観察すれば
至る	ごときに	に
する	を に	人を 逆さに
かぶせる	したり、 頭へ 袋を	たり へ を
抛り出す	かぶせたり、	たり
押し込む	は たり へ	時は 抛り出したり、 中へ
する	で でも を	方で 少しでも 手出しを
追い廻す	で	家内総がかりで
加える	て を	追い廻して 迫害を
磨く	この間も 畳で 爪を	も で を
怒る	が に	細君が 非常に
入れる	て から に へ	怒って それから 容易に 座敷へ
言う	と	ないと
産まれる	は を	白君は 子猫を
持つ	に を へ	三日目に そいつを 池へ
